,track_name,artists,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
583,Besos Moja2,ROSAL###,2,2022,9,29,2460,13,309483971,53,7,56,3,7,94,5,Minor,74,64,73,6,0,10,6
584,Maan Meri Jaan,King,1,2022,10,12,288,6,319566866,11,80,1,0,28,96,6,Minor,70,40,51,35,0,10,4
585,Moscow Mule,Bad Bunny,1,2022,5,6,4572,33,909001996,74,113,85,9,51,100,5,Minor,80,29,67,29,0,12,3
586,My Universe,Coldplay,2,2021,9,24,6127,13,1061966512,0,0,0,0,4,105,9,Major,58,42,68,1,0,14,4
587,My Universe,BTS,2,2021,9,24,6127,13,1061966512,0,0,0,0,4,105,9,Major,58,42,68,1,0,14,4
588,Devil Don,Morgan Wallen,1,2023,3,3,166,0,32526947,2,10,0,0,3,125,-1,Major,53,32,66,38,0,9,3
589,LLYLM,ROSAL###,1,2023,1,27,1838,0,124988687,105,41,114,1,14,170,6,Minor,56,56,63,13,0,19,27
590,I'm Not Here To Make Friends,Sam Smith,3,2023,1,27,1890,0,103787664,86,1,49,0,0,115,-1,Major,70,84,90,17,0,41,6
591,I'm Not Here To Make Friends,Calvin Harris,3,2023,1,27,1890,0,103787664,86,1,49,0,0,115,-1,Major,70,84,90,17,0,41,6
592,I'm Not Here To Make Friends,Jessie Reyez,3,2023,1,27,1890,0,103787664,86,1,49,0,0,115,-1,Major,70,84,90,17,0,41,6
593,TRUSTFALL,P!nk,1,2023,1,27,2098,16,134255790,88,24,101,7,15,122,8,Major,64,25,89,0,0,15,9
594,ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,761,12,301051721,23,95,11,0,35,105,10,Minor,88,82,80,8,0,11,8
595,Boy's a liar,PinkPantheress,1,2022,11,30,1225,0,156338624,27,0,28,13,4,133,5,Major,66,74,84,25,0,21,4
596,VIBE (feat. Jimin of BTS),TAEYANG,2,2023,1,13,415,2,152850295,15,40,21,1,14,100,-1,Major,79,60,68,7,0,26,4
597,VIBE (feat. Jimin of BTS),Jimin,2,2023,1,13,415,2,152850295,15,40,21,1,14,100,-1,Major,79,60,68,7,0,26,4
598,Shirt,SZA,1,2022,10,28,3469,0,309653982,71,95,31,0,31,120,3,Minor,82,55,45,15,3,9,10
599,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28,3311,0,297328960,129,31,212,1,10,177,9,Major,25,17,30,90,0,13,3
600,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,22,2616,0,332506354,113,17,208,0,5,142,2,Minor,64,31,72,15,0,9,5
601,"Sex, Drugs, Etc.",Beach Weather,1,2016,11,4,3006,16,480507035,47,60,87,12,29,144,4,Minor,57,47,84,1,1,52,4
602,Boy With Luv (feat. Halsey),Halsey,2,2019,4,12,4260,0,1065580332,113,92,259,0,30,120,11,Minor,65,80,86,9,0,19,10
603,Boy With Luv (feat. Halsey),BTS,2,2019,4,12,4260,0,1065580332,113,92,259,0,30,120,11,Minor,65,80,86,9,0,19,10
604,"Hey, Mickey!",Baby Tate,1,2016,9,27,482,0,122763672,9,1,12,4,1,135,2,Major,92,73,51,55,0,15,6
605,Calm Down,R####,1,2022,2,9,4013,10,445763624,107,44,750,22,25,107,11,Major,81,82,78,38,0,12,4
