,track_name,artists,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
908,Prohibidox,Feid,1,2022,9,13,1473,12,185392587,25,36,25,1,180,Minor,65,52,80,5,0,6,25
909,Static,Steve Lacy,1,2022,7,15,1613,0,202452860,21,15,13,0,79,Major,34,22,31,43,63,10,7
910,The Scientist,Coldplay,1,2002,8,5,30992,6,1608164312,124,25,7827,1,146,Major,56,21,44,73,0,11,2
911,Sparks,Coldplay,1,2000,7,10,10826,4,624101957,24,0,805,0,103,Major,37,17,27,75,5,10,3
912,Talk,YEAT,1,2022,9,2,920,0,148461629,10,1,8,0,140,Minor,70,26,76,8,0,54,23
913,XQ Te Pones As,"Yandel, Feid",2,2022,9,13,308,0,47093942,6,1,6,0,92,Major,81,48,70,13,0,15,7
914,Selfish,PnB Rock,1,2016,6,23,2468,0,380319238,15,0,0,0,102,Minor,64,4,60,11,0,19,4
915,Sin Se,"Ovy On The Drums, Quevedo",2,2022,7,22,1097,2,209106362,18,10,13,1,118,Minor,82,75,85,33,1,11,4
916,Lady Mi Amor,Feid,1,2022,9,13,330,0,53987404,3,0,2,0,93,Major,78,75,62,6,0,15,6
917,Poland,Lil Yachty,1,2022,6,23,1584,0,115331792,38,0,24,0,150,Minor,70,26,56,14,83,11,5
918,THE LONELIEST,M######ne,1,2022,10,7,1585,5,225093344,78,65,328,1,130,Major,52,24,60,0,0,8,3
919,Bye Bye,"Marshmello, Juice WRLD",2,2022,10,14,766,0,84697729,16,0,9,0,83,Minor,65,24,53,6,0,51,4
920,BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",4,2022,8,18,836,0,159240673,14,1,13,0,102,Major,84,43,75,5,0,6,8
921,Nxde,(G)I-DLE,1,2022,10,17,430,6,170709584,14,116,9,0,136,Minor,73,65,91,4,0,48,18
922,Miss You,Southstar,1,1982,5,16,2020,0,154356956,77,10,119,0,145,Major,66,24,58,17,0,19,5
923,we fell in love in october,girl in red,1,2018,11,21,6858,0,723043854,31,21,15,0,130,Major,57,24,37,11,18,16,3
924,2 Be Loved (Am I Ready),Lizzo,1,2022,7,14,3682,6,247689123,41,0,158,2,156,Major,72,92,77,9,0,8,11
925,Celestial,Ed Sheeran,1,2022,9,29,1639,0,176474912,86,14,80,0,123,Major,57,50,85,5,0,16,4
926,Typa Girl,BLACKPINK,1,2022,9,16,452,10,235549288,2,129,13,0,132,Major,92,53,62,7,0,63,10
927,I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",2,2020,12,18,668,1,140430339,0,0,31,0,125,Minor,49,13,74,0,0,9,4
928,California Breeze,Lil Baby,1,2022,10,14,991,0,85559365,36,38,13,0,162,Minor,74,22,67,0,0,11,46
929,Bamba (feat. Aitch & BIA),"Luciano, Aitch, B###",3,2022,9,22,869,7,146223492,14,12,12,2,138,Major,80,82,81,14,0,13,36
930,Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",3,2022,7,1,648,4,187701588,0,0,30,0,161,Minor,59,62,60,12,0,5,44
931,Major Distribution,"Drake, 21 Savage",2,2022,11,4,1545,0,154863153,22,7,15,0,131,Minor,91,23,55,1,0,7,32
932,Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,2022,11,4,1930,0,191333656,24,8,17,0,122,Minor,75,45,63,6,0,35,12
933,Vigilante Shit,Taylor Swift,1,2022,10,21,1948,0,253650850,12,9,16,0,80,Minor,80,16,28,17,0,12,39
934,Question...?,Taylor Swift,1,2022,10,21,1608,0,223064273,10,3,12,0,109,Major,75,11,50,20,0,30,17
935,On BS,"Drake, 21 Savage",2,2022,11,4,1338,0,170413877,9,20,7,0,158,Major,84,33,36,2,0,39,59
936,Mastermind,Taylor Swift,1,2022,10,21,1936,0,218320587,7,5,13,0,126,Major,66,12,35,55,0,9,14
937,Circo Loco,"Drake, 21 Savage",2,2022,11,4,1794,0,141720999,26,9,17,0,104,Major,73,25,61,1,0,32,7
938,Labyrinth,Taylor Swift,1,2022,10,21,1597,0,187339835,6,3,15,0,110,Major,48,15,31,80,22,12,4
939,Spin Bout U,"Drake, 21 Savage",2,2022,11,4,1652,2,198365537,26,52,10,0,130,Major,77,20,70,1,0,16,5
940,Sweet Nothing,Taylor Swift,1,2022,10,21,1747,0,186104310,9,6,13,0,177,Major,34,39,16,97,0,12,5
941,"Would've, Could've, Should've",Taylor Swift,1,2022,10,21,1715,0,177503916,4,5,8,0,158,Major,48,55,84,43,0,15,12
942,Con La Brisa,"Ludwig Goransson, Foudeqush",2,2022,11,4,486,0,71095708,8,1,7,0,114,Minor,62,25,44,51,33,14,3
943,Privileged Rappers,"Drake, 21 Savage",2,2022,11,4,1007,0,112436403,6,5,3,0,144,Major,93,62,61,0,0,12,20
944,The Astronaut,Jin,1,2022,10,28,481,9,203436468,10,100,15,1,125,Major,54,22,76,0,0,14,3
945,BackOutsideBoyz,Drake,1,2022,11,4,1045,0,93367537,8,5,2,0,142,Minor,85,40,43,4,0,39,32
946,Broke Boys,"Drake, 21 Savage",2,2022,11,4,1060,0,106249219,3,8,5,0,120,Major,64,11,53,1,0,25,27
947,The Great War,Taylor Swift,1,2022,10,21,1274,0,181382590,1,6,11,0,96,Major,57,55,74,22,0,8,4
948,My Mind & Me,Selena Gomez,1,2022,11,3,953,0,91473363,61,13,37,1,144,Major,60,24,39,57,0,8,3
949,Bigger Than The Whole Sky,Taylor Swift,1,2022,10,21,1180,0,121871870,4,0,8,0,166,Major,42,7,24,83,1,12,6
950,A Veces (feat. Feid),"Feid, Paulo Londra",2,2022,11,3,573,0,73513683,2,0,7,0,92,Major,80,81,67,4,0,8,6
951,En La De Ella,"Feid, Sech, Jhayco",3,2022,10,20,1320,0,133895612,29,26,17,0,97,Major,82,67,77,8,0,12,5
952,Alone,Burna Boy,1,2022,11,4,782,2,96007391,27,18,32,1,90,Minor,61,32,67,15,0,11,5
